A1,A6,B1,B9,D1,E38,year,weight,B10
1,1,8231,1,5,NA,2016,145.913948583214,4
2,10,8218,1,4,NA,2016,99.9422914896897,2
2,1,8218,1,9,NA,2016,99.9422914896897,5
1,3,8236,1,4,NA,2016,60.7531278352279,1
1,8,8231,1,3,NA,2016,127.562715249726,2
1,1,8218,1,4,NA,2016,128.18586113674,5
2,7,8236,1,8,NA,2016,45.5669371189829,3
2,4,8510,2,8,NA,2016,13.1335672450724,NA
1,11,8510,1,9,NA,2016,12.2027112521508,3
2,6,8231,1,1,NA,2016,118.712385680636,3
1,8,8231,2,2,NA,2016,179.559973669534,NA
1,4,8207,1,2,NA,2016,255.711092776512,2
1,4,8212,2,8,NA,2016,90.7128740959531,NA
1,1,8207,1,9,NA,2016,426,5
1,4,8236,1,8,NA,2016,44.3734396580336,3
1,3,8231,1,2,NA,2016,115.283157850041,2
1,4,8236,2,6,NA,2016,44.3734396580336,NA
1,7,8215,1,6,NA,2016,32.4527266661945,4
1,5,8218,2,8,NA,2016,115.364006574644,NA
1,6,8510,2,9,NA,2016,12.2027112521508,NA
1,9,8423,1,9,NA,2016,18.8616349612914,2
1,10,8510,2,8,NA,2016,14.643253502575,NA
1,1,8218,2,8,NA,2016,173.962164726582,NA
2,7,8229,2,2,NA,2016,20.211326255055,NA
1,8,8218,1,6,NA,2016,96.7967100187466,4
1,4,8231,2,2,NA,2016,161.456190316157,NA
2,4,8207,2,4,NA,2016,352.189436344679,NA
1,4,8218,2,4,NA,2016,106.771943494037,NA
2,5,8231,1,7,NA,2016,118.712385680636,4
2,7,8207,1,5,NA,2016,311.822959595088,3
2,5,8310,2,1,NA,2016,8.63859073896496,NA
1,6,8406,1,7,NA,2016,33.620848202021,2
1,1,8510,1,8,NA,2016,15.3400932715348,5
2,3,8424,1,5,NA,2016,38.2234430314533,2
1,9,8229,1,9,NA,2016,20.774459285079,2
2,6,8423,1,5,NA,2016,22.8305835092597,2
1,7,8231,1,2,NA,2016,157.275872994598,4
1,8,8231,1,2,NA,2016,157.275872994598,4
2,5,8231,1,1,NA,2016,118.712385680636,3
1,9,8336,2,3,NA,2016,10.1887831539162,NA
1,3,8255,1,9,NA,2016,255.711092776512,2
2,2,8231,1,4,NA,2016,143.445621063506,3
2,1,8229,1,8,NA,2016,28.7252461963411,2
2,4,8439,1,8,NA,2016,117.636295722456,2
1,2,8229,1,4,NA,2016,32.3606557377049,4
1,2,8510,1,7,NA,2016,15.3400932715348,4
1,4,8236,1,2,NA,2016,42.9796063940674,5
