"W22A1";"W22B1";"W22A6";"W22B9";"W22D1";"W22E38";"weight_2022"
1;8207;13;1;9;1;185.594385587911
1;8229;10;1;9;1;220.666200930493
1;8207;15;2;9;1;151.68771899012
2;8212;16;2;6;1;187.951286400905
2;8410;10;2;9;1;247.124143702951
1;8215;16;1;4;1;172.550531280022
1;8207;8;1;8;1;182.632773051934
1;8212;14;1;8;-7;177.32900801068
1;8229;1;1;6;1;245.561874881626
2;8215;11;1;8;-7;135.167754401208
2;8207;17;2;8;1;178.9736695364
2;8218;14;1;8;2;151.867719627818
1;8212;16;2;9;3;168.217240800645
2;8236;13;2;8;1;224.618909943446
2;8218;14;1;8;1;200.865581872604
1;8207;12;1;8;1;172.5801451351
2;8406;7;1;8;2;227.614342884297
1;8231;12;1;2;4;494.012181593237
1;8231;13;1;4;2;422.815391273151
1;8439;12;1;6;4;228.644675955835
1;8229;9;2;4;-7;289.949152557022
1;8215;12;1;7;-7;156.272179272472
1;8439;10;1;7;1;228.644675955835
1;8212;8;1;9;1;226.158734854201
2;8423;13;2;7;1;201.022012559416
1;8215;8;2;8;1;179.192098899102
1;8423;14;2;9;2;320.413627529945
2;8218;8;1;5;-7;200.865581872604
2;8432;13;1;3;2;230.570373311366
2;8510;8;1;8;1;310.744271313633
1;8510;9;1;7;1;316.629707860482
1;8236;11;1;7;3;213.063400240822
2;8236;11;1;7;1;224.618909943446
1;8215;9;1;8;1;178.920321196019
1;8212;15;2;8;1;203.542861368781
1;8215;12;1;3;1;141.864106006216
2;8229;12;1;8;1;241.805083565572
2;8231;10;1;7;-7;441.391610428513
1;8207;14;2;8;2;203.777619311051
2;8215;9;1;7;-7;144.822594001294
1;8439;10;1;8;1;264.93748166311
2;8424;9;1;4;-7;234.117609823848
2;8336;13;1;7;-7;358.406529872499
2;8510;15;1;8;-7;250.343850291035
2;8236;10;2;8;3;196.057453722189
2;8218;7;2;9;1;200.865581872604
1;8229;14;1;7;2;255.129220656235
1;8349;12;1;8;1;166.690324557304
2;8231;10;1;8;1;447.123969005506
2;8312;8;2;5;1;413.688059213878
2;8510;10;1;8;-7;214.709320249608
1;8215;11;1;7;1;172.550531280022
1;8212;7;1;6;1;226.158734854201
2;8310;16;2;4;2;358.406529872499
2;8406;7;1;8;1;236.044503731864
2;8439;10;1;9;1;220.233906533626
1;8432;11;2;8;1;295.229864145137
1;8510;17;1;8;1;316.629707860482
1;8231;12;1;2;2;422.815391273151
2;8439;13;2;8;1;201.022012559416
2;8229;16;1;9;2;191.254020810238
1;8207;9;1;9;2;236.289148317942
1;8218;9;1;9;3;162.76698325513
1;8229;10;2;6;2;255.129220656235
2;8218;10;1;6;3;184.70398333113
1;8510;8;1;6;1;194.418363302137
2;8212;16;2;8;-7;159.649741344398
2;8215;8;2;9;1;140.799744167925
2;8207;8;1;9;1;178.9736695364
1;8215;8;1;7;1;178.920321196019
1;8218;11;1;5;3;162.886313888015
2;8231;15;2;8;1;589.226121098349
1;8439;15;1;7;1;228.644675955835
2;8207;12;1;9;2;186.132616317856
2;8439;11;2;9;1;252.882617239049
2;8510;16;1;8;-7;269.536878813347
1;8510;8;1;8;1;194.418363302137
1;8207;11;1;7;1;151.68771899012
1;8236;12;1;8;1;188.197405345888
2;8406;15;1;8;1;260.130677582054
2;8212;8;1;8;1;202.313012604297
2;8215;5;1;6;-7;140.799744167925
1;8212;16;1;8;1;179.752137312689
1;8236;11;1;7;2;192.599683833511
2;8229;9;1;4;1;191.254020810238
1;8218;15;2;8;2;162.886313888015
1;8229;11;1;5;-7;235.112433397301
2;8212;9;1;8;1;137.753116741036
1;8218;15;2;8;2;186.394448566359
