"W16A1";"W16A6";"W16B1";"W16B9";"W16D1";"weight_2016"
2;10;8423;2;7;25.7427298201403
2;5;8231;1;7;118.712385680636
2;1;8207;1;3;295.205128205128
2;2;8410;2;4;73.6335214177529
2;5;8207;2;8;352.189436344679
2;5;8229;1;5;20.211326255055
2;2;8439;1;7;21.7591746697462
2;5;8218;2;5;105.253527751603
1;2;8510;1;7;15.3400932715348
1;6;8218;1;5;115.364006574644
2;8;8229;1;5;20.211326255055
2;9;8406;2;2;38.2234430314533
1;9;8231;1;2;157.275872994598
1;4;8207;2;6;255.711092776512
1;1;8212;2;8;92.2463794214078
1;8;8212;2;9;110.039775888745
2;3;8231;2;7;147.772041922321
1;6;8231;2;6;179.559973669534
1;8;8510;1;8;12.2027112521508
1;6;8439;1;7;21.9237870339284
1;2;8229;2;7;32.3606557377049
2;4;8231;1;5;118.712385680636
1;8;8212;2;5;110.039775888745
1;6;8229;2;8;22.1597661958095
2;3;8229;1;8;20.211326255055
2;4;8229;2;8;20.211326255055
2;7;8406;1;3;38.2234430314533
1;9;8215;1;7;32.4527266661945
2;4;8231;1;3;118.712385680636
1;10;8406;1;7;33.620848202021
1;8;8231;1;3;127.562715249726
2;2;8218;1;2;120.794147613139
2;9;8212;1;8;103.594552567325
2;4;8207;1;8;352.189436344679
1;4;8336;1;1;10.1887831539162
1;4;8231;1;6;127.562715249726
2;3;8423;1;6;22.8305835092597
1;2;8231;1;4;175.672714412934
2;9;8207;1;8;255.501995173598
1;6;8231;2;4;175.672714412934
2;3;8406;1;7;31.6666495541945
1;6;8231;1;2;194.384755446701
1;2;8510;1;7;15.3400932715348
1;1;8207;2;8;426
1;8;8510;1;8;12.2027112521508
1;1;8401;2;7;32.3395327179569
1;4;8215;2;7;38.7921736556311
2;3;8510;1;8;13.1335672450724
2;2;8212;1;2;103.604770425828
1;6;8231;1;2;127.562715249726
2;2;8352;2;3;120.794147613139
2;3;8207;1;4;352.189436344679
2;4;8510;1;9;13.1335672450724
2;2;8229;1;7;28.7252461963411
2;4;8236;1;5;45.0972990249956
1;1;8231;1;5;145.913948583214
2;10;8218;1;4;99.9422914896897
2;1;8218;1;9;99.9422914896897
1;3;8236;1;4;60.7531278352279
1;8;8231;1;3;127.562715249726
1;1;8218;1;4;128.18586113674
2;7;8236;1;8;45.5669371189829
2;4;8510;2;8;13.1335672450724
1;11;8510;1;9;12.2027112521508
2;6;8231;1;1;118.712385680636
1;8;8231;2;2;179.559973669534
1;4;8207;1;2;255.711092776512
1;4;8212;2;8;90.7128740959531
1;1;8207;1;9;426
1;4;8236;1;8;44.3734396580336
1;3;8231;1;2;115.283157850041
1;4;8236;2;6;44.3734396580336
1;7;8215;1;6;32.4527266661945
1;5;8218;2;8;115.364006574644
1;6;8510;2;9;12.2027112521508
1;9;8423;1;9;18.8616349612914
1;10;8510;2;8;14.643253502575
1;1;8218;2;8;173.962164726582
2;7;8229;2;2;20.211326255055
1;8;8218;1;6;96.7967100187466
1;4;8231;2;2;161.456190316157
2;4;8207;2;4;352.189436344679
1;4;8218;2;4;106.771943494037
2;5;8231;1;7;118.712385680636
