"W20A1";"W20B1";"W20A6";"W20B9";"W20D1";"W20E38";"weight_2020"
2;8533;9;1;7;1;48.8318163539375
2;8218;11;1;3;3;178.732141370689
1;8218;6;1;8;1;163.597323822864
2;8215;7;2;2;-7;40.9749136954578
1;8236;10;2;9;1;75.4412225217843
2;8215;15;1;7;3;35.3117728189623
1;8510;10;1;9;1;131.408740123856
1;8439;12;1;7;1;253.580431374922
2;8207;13;1;8;1;253.53008227499
2;8207;13;2;8;1;244.577005003127
2;8337;9;1;4;3;128.977972411611
2;8230;13;1;8;1;34.4072245199095
2;8424;12;2;8;1;92.8761145680088
1;8424;14;1;4;4;115.611001664198
2;8431;10;2;7;1;85.8400452825536
1;8218;8;2;5;3;175.817439249281
1;8229;13;1;5;1;25.8461481559006
1;8207;12;2;6;1;348.06699004227
2;8207;14;1;5;1;253.53008227499
2;8432;7;1;3;2;106.969902582875
1;8218;14;2;9;2;147.570009805384
2;8226;14;1;6;1;117.533501849633
1;8207;14;2;9;1;293.681522848165
1;8212;12;1;8;-7;142.123806836706
1;8409;8;1;8;1;68.377853158225
2;8510;8;1;7;-7;138.155698833161
2;8207;7;1;8;1;244.577005003127
2;8229;10;1;8;2;33.6868762233105
1;8212;7;2;8;1;195.921812501522
1;8218;6;2;5;1;149.964213504292
2;8229;8;1;7;1;30.5524033775126
2;8215;9;1;9;1;40.9749136954578
2;8406;5;2;3;-7;94.960550093825
2;8215;8;1;7;-7;40.9749136954578
2;8207;12;1;7;1;292.246498780038
2;8207;10;2;5;2;335.708798598607
2;8424;7;1;3;2;61.7449490056975
2;8229;15;1;5;-7;33.6868762233105
1;8510;15;2;8;1;110.983404518299
1;8207;13;1;8;1;262.863091438173
1;8215;6;1;7;1;32.3082438776559
1;8207;11;1;8;1;303.004745795727
2;8215;10;2;9;1;40.9749136954578
2;8236;10;2;8;1;61.7449490056975
2;8215;6;2;7;3;41.489056093164
2;8310;10;1;8;-7;158.562750264217
1;8439;5;1;8;1;46.0315629416536
2;8439;12;1;7;1;46.0315629416536
1;8510;10;1;7;2;131.408740123856
1;8212;8;1;6;3;154.618207437735
2;8265;11;1;8;1;46.0016723163669
2;8212;7;2;8;1;117.533501849633
