"W18A1";"W18A6";"W18B1";"W18B9";"W18B10";"W18D1";"W18E38";"weight_2018"
1;7;8214;1;4;9;1;364.551812845204
2;7;8438;2;-7;9;3;39.016627463231
2;3;8236;1;3;9;2;63.0115078339826
2;5;8236;1;3;8;1;67.2393020561023
1;11;8236;2;-7;9;3;53.434760225776
1;5;8212;2;-7;8;2;165.381712820244
2;4;8229;1;1;8;1;42.3628435183233
1;5;8236;1;2;7;2;59.3719553578297
1;11;8439;1;5;9;1;25.8194982137825
2;10;8406;2;-7;2;-7;43.2166569568887
1;8;8207;1;4;8;1;364.551812845204
2;4;8439;1;5;8;1;28.089135067548
1;4;8215;1;2;4;-7;38.7711184230461
2;8;8439;1;2;8;1;25.5655018470119
2;5;8424;2;-7;6;-7;39.016627463231
1;3;8212;2;-7;9;1;138.575872700505
1;8;8218;1;4;5;4;143.154874571557
2;5;8215;1;2;6;-7;37.8252253758228
1;12;8207;1;4;8;2;317.659513158926
2;7;8236;2;-7;8;3;67.2393020561023
1;13;8215;1;1;8;1;37.5257612419977
2;11;8424;1;2;8;-7;31.9602377550574
1;12;8439;2;-7;9;1;26.9008831524086
2;6;8406;1;1;2;1;39.016627463231
1;4;8423;1;2;7;2;28.3682040369577
1;6;8207;2;-7;6;1;447.89991344211
1;5;8407;1;2;8;1;45.7793779605382
1;9;8439;2;-7;8;-7;25.7821520854634
1;9;8207;1;2;7;1;352.07262738276
2;12;8215;1;3;7;-7;48.8708268305858
1;8;8229;2;-7;7;1;32.1817080988778
1;12;8510;1;4;8;1;17.7730768620675
2;7;8439;1;3;8;-7;38.7711184230461
2;9;8207;2;-7;7;1;265.357290749673
1;11;8439;1;4;8;3;25.8194982137825
1;5;8510;2;-7;9;1;16.6461881369673
2;12;8439;1;2;7;3;25.8194982137825
1;9;8345;2;-7;8;1;80.1310400400267
2;5;8236;1;3;3;1;63.0115078339826
2;12;8510;1;1;8;2;17.0262627671209
1;7;8218;1;5;9;1;143.154874571557
1;12;8439;1;1;8;-7;25.8194982137825
1;7;8439;1;1;7;1;25.7821520854634
1;4;8345;1;2;2;-7;80.1310400400267
2;5;8510;1;1;7;-7;17.0262627671209
2;9;8207;1;1;8;1;329.554741980749
2;4;8218;1;5;8;2;137.855003809855
1;12;8406;1;2;4;1;42.0178939775888
1;9;8212;2;-7;8;2;137.193659106926
2;3;8423;2;-7;6;1;28.089135067548
1;7;8218;1;3;6;2;191.46228085271
2;11;8406;1;1;7;1;43.2166569568887
1;6;8510;2;-7;8;1;16.6461881369673
2;12;8207;1;1;9;1;239.42011175175
2;4;8439;2;-7;7;1;29.6252596461835
1;9;8215;1;2;7;1;38.7711184230461
2;7;8406;1;3;2;1;39.016627463231
1;9;8424;2;-7;3;2;58.803409540506
1;6;8212;1;4;8;2;138.575872700505
1;10;8345;2;-7;8;1;80.1310400400267
2;12;8205;1;3;8;2;265.357290749673
2;8;8439;1;2;7;2;25.5285231069676
1;6;8354;1;1;6;2;80.1310400400267
1;8;8406;1;2;8;1;31.0737103712154
2;4;8510;1;2;8;-7;17.2975092107323
2;10;8212;2;-7;8;-7;133.27280033577
2;7;8207;1;3;4;4;274.762858202313
2;4;8212;1;3;8;2;143.413122025624
1;4;8207;2;-7;5;1;351.543194367243
1;8;8215;1;2;8;1;31.0737103712154
2;9;8510;1;1;7;2;15.7943024977442
2;9;8510;2;-7;9;1;17.0262627671209
2;10;8510;1;3;8;-7;17.0262627671209
1;7;8410;1;4;7;2;66.0076445491317
1;10;8212;2;-7;8;1;120.199506604871
1;6;8218;1;5;9;1;150.776546284591
2;10;8212;1;2;6;-7;133.27280033577
1;8;8212;2;-7;8;1;165.381712820244
2;10;8510;1;2;8;1;15.7943024977442
1;6;8215;2;-7;7;1;46.7534074736533
1;6;8236;1;3;8;1;59.4354547910541
1;9;8432;1;4;4;1;58.9354337299395
1;9;8229;1;2;8;1;31.5965860999322
1;7;8212;2;-7;9;1;164.279462215597
2;4;8215;1;1;8;1;45.6127717411273
1;10;8207;1;4;8;1;352.07262738276
1;8;8231;1;2;8;1;265.577226720543
1;9;8207;1;2;6;2;352.07262738276
2;5;8236;2;-7;8;-7;67.2393020561023
2;9;8212;2;-7;8;-7;122.087404139836
2;11;8215;2;-7;9;1;34.5659288173129
1;7;8207;1;2;8;1;364.551812845204
1;11;8510;1;1;8;1;16.2285418585574
2;6;8212;1;1;4;4;140.752396181062
1;11;8215;2;-7;7;1;35.4303168391754
2;7;8510;2;-7;8;1;16.2007734990058
1;5;8218;1;5;6;4;150.776546284591
2;8;8410;1;1;3;2;31.9602377550574
1;7;8212;1;4;9;2;138.575872700505
1;8;8439;2;-7;9;1;25.8194982137825
1;12;8229;1;5;3;1;32.1817080988778
2;10;8229;1;4;9;2;33.341126728719
2;12;8406;1;2;8;-7;34.5659288173129
2;6;8212;1;2;8;-7;167.979258657
1;11;8212;2;-7;9;1;137.193659106926
1;2;8331;2;-7;6;1;106.795807410619
1;3;8212;1;1;2;-7;164.279462215597
1;7;8510;1;2;9;1;17.494372926597
1;1;8230;1;2;8;1;56.9333177129465
1;12;8231;1;4;8;1;453.524185562264
2;6;8218;1;2;2;2;140.339978451488
1;4;8230;2;-7;4;1;63.079528228738
2;9;8231;2;-7;2;1;556.268471111719
1;12;8218;2;-7;7;2;145.735384696726
2;3;8439;1;2;8;2;25.5285231069676
2;6;8265;2;-7;8;1;34.8177939401247
1;4;8601;1;4;7;2;31.8767383268424
2;8;8230;1;3;6;3;44.2047066696615
1;1;8231;2;-7;2;2;265.577226720543
2;2;8534;2;-7;6;-7;73.4816495386454
1;4;8350;1;3;3;1;80.1310400400267
1;10;8261;1;2;5;1;148.651645216949
1;7;8211;1;4;8;1;64.7872498099862
2;9;8227;1;2;7;1;56.5497629605425
2;2;8349;1;2;7;-7;44.6625054770934
1;10;8510;1;4;8;1;16.2285418585574
1;9;8537;2;-7;8;1;129.987256497403
1;8;8236;2;-7;7;2;77.2708539003396
1;7;8501;2;-7;8;-7;108.505626540852
2;8;8212;2;-7;8;2;139.348473033844
2;6;8207;2;-7;7;1;264.958256858071
1;9;8362;1;1;3;-7;128.606217084254
1;11;8207;2;-7;4;1;317.659513158926
1;2;8204;1;5;8;1;71.6371694553902
1;3;8229;1;3;9;1;34.0942209782288
2;7;8204;2;-7;8;2;65.6359828600867
1;5;8218;1;5;5;3;150.776546284591
2;7;8211;1;1;7;3;55.3912129575918
1;12;8215;1;2;7;2;37.5257612419977
2;9;8204;2;-7;8;1;60.1663176217462
2;5;8229;1;1;8;1;33.6813419667604
2;8;8240;1;2;6;-7;143.129559638735
1;4;8232;1;2;8;1;158.481972351332
2;6;8236;1;2;8;2;62.5482270508295
1;12;8510;1;4;6;1;17.494372926597
2;10;8231;1;3;2;2;247.107798011977
1;11;8511;2;-7;7;2;91.9022196167268
2;12;8264;2;-7;7;-7;40.9612412333552
1;13;8510;2;-7;8;1;16.2285418585574
1;8;8230;2;-7;6;1;56.9333177129465
2;10;8508;1;1;7;-7;68.0087227674069
1;11;8362;2;-7;1;1;135.274687229983
1;4;8227;1;2;8;1;71.6371694553902
2;7;8265;1;2;3;-7;34.8177939401247
1;5;8212;1;2;8;1;165.381712820244
1;8;8243;1;2;8;2;111.671202986618
1;2;8510;2;-7;7;-7;16.6461881369673
2;9;8232;1;1;7;-7;137.806920177096
2;4;8537;1;2;6;3;80.2954390535469
2;7;8406;1;1;4;4;43.2166569568887
1;5;8349;1;2;7;-7;38.7711184230461
1;2;8207;1;5;7;3;351.543194367243
2;12;8212;2;-7;8;1;139.348473033844
1;7;8998;2;-7;8;3;351.543194367243
1;11;8362;2;-7;1;1;135.274687229983
1;9;8236;2;-7;8;1;53.434760225776
2;9;8510;1;3;8;-7;15.7943024977442
2;8;8231;2;-7;2;2;429.997461333682
2;4;8240;2;-7;6;4;122.748367310052
2;12;8244;1;1;5;3;112.288328777093
1;5;8218;1;3;8;1;143.154874571557
1;8;8229;2;-7;8;1;32.1817080988778
2;4;8265;1;1;8;3;34.8177939401247
1;7;8218;2;-7;8;1;143.154874571557
2;10;8424;1;1;7;2;31.9602377550574
2;5;8515;1;1;6;-7;80.2954390535469
1;8;8229;1;2;4;4;35.6474305415175
2;11;8510;1;1;8;-7;17.0262627671209
2;9;8244;2;-7;7;1;137.806920177096
2;11;8439;1;3;8;1;25.5655018470119
1;3;8215;1;3;8;-7;45.7793779605382
2;1;8230;1;3;8;-7;44.2047066696615
1;6;8240;2;-7;7;1;141.164197916935
2;5;8229;1;1;5;1;42.3628435183233
2;6;8230;2;-7;7;3;44.9539390118513
2;8;8265;1;2;8;-7;34.8177939401247
2;1;8510;1;3;8;-7;19.5532706608277
1;12;8207;2;-7;8;1;46.7534074736533
1;3;8550;1;1;2;-7;108.505626540852
1;12;8327;2;-7;8;2;137.193659106926
1;3;8230;1;4;7;1;56.9333177129465
2;5;8542;1;1;2;1;80.2954390535469
1;12;8229;2;-7;9;1;32.1817080988778
2;2;8243;2;-7;8;3;122.748367310052
1;11;8523;2;-7;9;1;91.9022196167268
1;5;8239;1;1;2;1;194.18723012049
1;11;8541;2;-7;2;1;108.505626540852
2;5;8427;2;-7;7;-7;34.8177939401247
1;4;8543;2;-7;1;2;108.505626540852
1;9;8215;2;-7;7;1;34.6321536841877
2;2;8423;1;2;7;-7;25.5285231069676
1;9;8232;1;4;8;1;158.481972351332
2;8;8214;2;-7;5;-7;56.5497629605425
2;3;8331;2;-7;6;-7;74.0861310147463
1;2;8236;2;-7;6;3;65.8111932408763
2;2;8201;1;5;5;4;223.928455442343
1;4;8359;1;1;7;2;80.1310400400267
2;3;8349;1;1;5;-7;74.0861310147463
2;8;8230;1;2;8;3;29.2421688446292
1;4;8230;1;4;8;1;63.079528228738
2;2;8439;1;2;7;1;25.5285231069676
2;4;8207;1;5;9;1;62.5287377338575
1;9;8264;1;2;8;1;31.8767383268424
1;9;8227;1;2;7;1;75.1970405436977
2;6;8215;1;1;6;1;34.5659288173129
1;2;8204;1;2;8;1;71.1693927431894
2;12;8423;1;3;7;1;25.5655018470119
2;10;8230;2;-7;1;-7;54.068737654359
2;2;8437;1;2;8;-7;39.016627463231
1;2;8236;1;2;8;-7;63.3555516634303
1;6;8236;1;4;7;2;77.2708539003396
1;7;8214;2;-7;8;1;75.1970405436977
2;11;8362;1;4;4;1;125.069863015546
2;12;8207;2;-7;5;3;337.582357485572
1;1;8207;2;-7;5;1;437.248976833521
2;2;8405;1;4;8;-7;60.4810602683451
1;2;8244;1;5;3;1;211.116964267535
2;8;8264;1;2;8;3;37.6647223446157
2;3;8205;1;3;3;2;163.785306260781
2;5;8406;1;2;8;1;31.9602377550574
1;10;8212;1;2;7;1;131.211937521916
1;4;8510;1;4;9;1;17.494372926597
1;3;8214;1;5;9;1;71.6371694553902
2;3;8510;1;2;8;1;17.7730768620675
1;2;8229;2;-7;4;1;34.0942209782288
2;3;8508;1;2;8;1;80.2954390535469
1;5;8506;1;4;4;2;108.505626540852
1;2;8432;1;1;4;-7;31.0737103712154
1;5;8212;1;2;4;1;165.381712820244
2;2;8439;1;1;5;-7;25.5285231069676
1;3;8406;1;1;7;-7;31.0737103712154
2;3;8424;1;3;8;2;35.0198022634297
2;2;8255;1;3;2;-7;184.373976334285
2;2;8508;1;1;8;2;80.2954390535469
1;2;8215;1;3;4;-7;35.8805219879624
2;13;8231;1;3;4;-7;417.728124564034
1;8;8215;1;4;8;1;37.5257612419977
2;4;8264;1;2;8;-7;34.8177939401247
2;7;8255;1;3;5;-7;240.263851157349
1;10;8231;1;2;2;2;340.572614336266
2;12;8231;1;3;2;1;556.268471111719
2;7;8534;1;1;3;1;68.0087227674069
2;3;8427;1;2;5;-7;70.0539705411917
1;4;8214;1;2;5;3;50.7149034294347
2;8;8542;2;-7;2;1;80.2954390535469
1;6;8510;2;-7;8;1;16.6461881369673
2;6;8265;1;1;7;4;37.6647223446157
1;12;8227;1;5;5;1;75.1970405436977
1;8;8236;1;4;2;2;77.2708539003396
2;10;8264;1;2;8;-7;34.8177939401247
1;8;8423;2;-7;8;3;25.8194982137825
1;6;8218;1;3;8;2;150.776546284591
2;5;8265;1;1;8;2;34.8177939401247
2;6;8212;1;1;8;-7;139.348473033844
1;3;8408;1;4;7;1;31.8767383268424
2;3;8212;1;3;8;-7;167.979258657
1;11;8239;1;1;2;4;152.753311976989
1;8;8424;1;3;5;2;53.434760225776
2;11;8510;1;2;8;1;19.5532706608277
2;4;8230;1;3;8;-7;35.963151209481
1;9;8256;1;1;7;2;208.353028033726
2;2;8510;1;2;8;-7;17.0262627671209
2;11;8256;2;-7;5;-7;240.263851157349
2;1;8264;1;1;8;2;34.8177939401247
1;10;8508;1;4;9;1;99.2979491292016
1;6;8236;2;-7;2;1;68.4112841587587
2;3;8256;2;-7;7;4;163.785306260781
2;10;8212;2;-7;8;1;139.348473033844
1;3;8438;1;4;7;1;31.9602377550574
2;3;8230;1;4;7;4;44.2047066696615
2;4;8510;2;-7;7;1;17.2975092107323
1;6;8231;1;4;3;3;201.46632185623
2;4;8362;1;5;2;-7;118.904447558095
1;8;8230;1;4;8;-7;56.9333177129465
2;1;8207;1;1;9;1;274.762858202313
2;10;8406;1;1;1;-7;43.2166569568887
2;1;8302;1;3;5;-7;74.0861310147463
1;11;8252;1;3;6;1;32.1817080988778
1;4;8230;2;-7;8;2;63.079528228738
2;5;8534;2;-7;7;1;80.2954390535469
2;3;8243;1;2;8;-7;143.129559638735
2;10;8230;1;1;8;1;52.060942792496
1;8;8251;1;1;2;3;129.134848915855
2;9;8230;1;3;8;1;52.060942792496
2;1;8255;1;2;4;2;176.148623127717
1;11;8424;1;1;6;3;31.0737103712154
2;3;8439;1;3;9;1;25.5285231069676
2;2;8218;1;3;3;-7;142.095116353267
2;10;8212;1;2;8;1;122.087404139836
2;8;8510;1;4;7;-7;17.2975092107323
2;10;8230;1;2;8;1;29.2421688446292
2;2;8212;1;2;8;1;166.859695700096
2;7;8212;1;3;4;1;133.27280033577
1;3;8439;1;2;8;2;28.3682040369577
2;11;8264;2;-7;8;1;37.9612951612988
1;6;8230;2;-7;4;1;63.079528228738
1;8;8231;1;5;6;1;201.46632185623
1;2;8230;1;5;8;1;63.079528228738
2;11;8427;2;-7;6;1;37.9612951612988
2;9;8263;1;2;7;-7;37.6647223446157
1;2;8336;2;-7;8;2;34.7547083105179
1;7;8230;2;-7;8;1;62.0282027227221
2;4;8265;1;1;8;4;34.8177939401247
2;5;8264;1;3;8;1;34.8177939401247
2;2;8227;2;-7;7;1;69.0798461237612
2;1;8240;1;3;6;4;122.748367310052
2;12;8231;1;3;2;1;417.728124564034
2;7;8427;1;3;8;-7;34.8177939401247
2;1;8230;1;3;8;-7;44.9539390118513
2;11;8230;1;2;8;3;44.2047066696615
2;4;8534;2;-7;7;-7;96.1920977240324
1;13;8215;1;2;8;1;37.5257612419977
1;10;8215;1;2;8;1;37.5257612419977
2;5;8427;2;-7;7;-7;34.8177939401247
2;1;8561;2;-7;8;-7;80.2954390535469
2;4;8507;1;3;7;-7;80.2954390535469
1;5;8229;2;-7;8;-7;43.4453056800541
2;2;8546;1;3;5;-7;80.2954390535469
2;7;8232;2;-7;5;1;195.475190764185
1;8;8212;1;5;6;1;138.575872700505
2;2;8239;1;2;8;-7;240.263851157349
1;1;8214;2;-7;4;1;77.7678802365556
1;2;8215;1;2;8;1;35.8805219879624
1;3;8423;1;3;9;1;25.7821520854634
2;4;8352;1;2;2;1;39.016627463231
1;8;8514;1;2;8;1;91.9022196167268
1;10;8250;2;-7;8;2;129.134848915855
1;11;8601;1;2;5;-7;34.4831869703515
1;5;8229;1;2;4;1;38.6180492681095
2;12;8230;1;3;7;3;29.2421688446292
1;12;8249;1;4;6;3;152.753311976989
2;1;8439;1;2;9;-7;25.5285231069676
1;3;8214;1;2;7;1;71.6371694553902
2;10;8231;2;-7;2;2;429.997461333682
1;10;8510;2;-7;7;-7;16.6461881369673
1;7;8357;2;-7;7;2;80.1310400400267
2;9;8439;2;-7;7;1;26.636248784728
1;11;8230;1;2;8;1;41.0327160567181
2;9;8212;1;3;6;3;133.27280033577
1;9;8215;1;2;8;1;35.4303168391754
1;8;8256;1;1;4;2;208.353028033726
1;2;8212;1;5;8;1;141.195454433612
1;4;8218;1;4;2;2;191.46228085271
1;7;8236;1;5;3;1;65.8111932408763
1;5;8230;1;4;6;3;62.0282027227221
1;12;8350;2;-7;1;2;128.606217084254
1;4;8320;1;2;8;1;35.8805219879624
1;6;8214;2;-7;8;1;71.6371694553902
2;2;8510;1;1;7;-7;17.2975092107323
2;6;8212;1;2;8;-7;122.087404139836
1;9;8216;2;-7;8;-7;71.6371694553902
2;11;8543;2;-7;1;3;96.1920977240324
2;2;8542;1;1;7;-7;80.2954390535469
1;12;8251;2;-7;7;1;129.134848915855
1;3;8230;1;5;8;1;63.079528228738
2;5;8214;1;3;7;1;50.7149034294347
2;12;8212;1;2;7;-7;133.27280033577
1;6;8264;2;-7;9;1;34.7547083105179
1;3;8243;1;5;8;3;164.603162774219
1;3;8439;1;5;8;1;25.7821520854634
1;10;8543;2;-7;1;1;129.987256497403
1;5;8231;1;3;5;1;265.577226720543
2;9;8508;1;1;5;1;68.0087227674069
1;13;8212;2;-7;5;3;137.193659106926
2;7;8352;1;1;5;-9;230.538885835823
1;5;8207;1;4;8;1;364.551812845204
1;8;8212;2;-7;4;3;131.211937521916
2;8;8236;1;2;7;-7;56.7103574790626
2;3;8423;1;2;8;1;25.5285231069676
2;7;8265;1;1;7;1;34.8177939401247
2;2;8266;2;-7;8;-7;34.8177939401247
1;3;8409;1;1;1;-7;31.8767383268424
1;10;8207;2;-7;8;-7;408.914432160406
2;12;8255;1;2;3;4;240.263851157349
1;2;8510;2;-7;8;1;16.6461881369673
1;3;8510;1;4;7;1;17.7730768620675
1;2;8510;1;3;7;1;17.494372926597
2;8;8222;1;1;4;2;56.5497629605425
2;3;8205;1;3;8;1;176.148623127717
1;8;8256;1;1;2;1;208.353028033726
2;3;8212;1;3;8;1;143.413122025624
1;2;8336;1;5;8;1;46.7534074736533
1;4;8212;2;-7;4;1;138.575872700505
2;2;8409;1;1;2;-7;37.6647223446157
2;7;8550;1;2;7;-7;28.089135067548
2;7;8439;1;1;8;3;28.089135067548
2;7;8227;1;2;7;-7;56.5497629605425
2;11;8427;1;3;7;2;40.9612412333552
2;5;8406;2;-7;4;1;39.016627463231
2;11;8215;1;2;8;1;36.6102509834784
2;11;8264;1;3;5;-7;37.6647223446157
2;12;8336;1;1;5;-7;55.3912129575918
2;2;8423;1;2;8;1;25.5285231069676
2;6;8542;1;1;8;4;80.2954390535469
1;2;8439;1;2;9;1;25.7821520854634
2;5;8252;1;3;5;-7;223.928455442343
1;12;8239;2;-7;8;1;208.353028033726
2;10;8214;1;4;9;1;52.0357340960613
2;5;8227;1;3;8;-7;59.01370611404
2;2;8229;1;1;8;2;33.1874785657354
1;10;8207;1;2;8;1;352.07262738276
2;6;8212;1;4;8;1;143.413122025624
2;6;8265;2;-7;5;3;34.8177939401247
2;11;8331;1;1;2;1;118.904447558095
2;12;8264;1;1;5;-7;37.6647223446157
1;11;8230;2;-7;4;2;135.530872273647
1;6;8409;1;1;5;1;38.2365678522229
1;10;8207;1;3;6;2;437.248976833521
2;10;8212;1;2;8;2;122.087404139836
1;4;8230;1;2;7;1;62.0282027227221
1;10;8406;1;1;4;2;42.0178939775888
1;7;8261;1;2;8;2;148.651645216949
1;4;8248;1;1;7;-7;199.919691256252
2;9;8218;2;-7;8;-7;140.339978451488
2;9;8231;1;1;3;1;247.107798011977
1;5;8230;2;-7;8;1;63.079528228738
2;5;8231;1;3;7;1;247.107798011977
2;5;8264;1;5;8;1;37.9612951612988
2;2;8264;1;2;6;-7;34.8177939401247
1;4;8362;2;-7;2;-7;128.606217084254
1;5;8229;2;-7;4;3;34.0942209782288
2;10;8525;1;1;6;3;68.0087227674069
1;6;8263;2;-7;8;2;164.603162774219
2;5;8212;2;-7;8;1;167.979258657
2;2;8205;1;2;8;3;176.148623127717
1;5;8207;1;3;7;1;364.551812845204
2;5;8264;2;-7;5;1;34.8177939401247
2;3;8231;1;1;7;4;262.253115003588
1;12;8437;1;2;9;1;64.7872498099862
1;3;8240;2;-7;5;1;141.164197916935
2;12;8506;1;1;3;-7;68.0087227674069
2;5;8510;1;3;7;2;17.0262627671209
2;9;8510;1;3;8;-7;17.0262627671209
1;3;8515;1;2;5;1;108.505626540852
2;6;8265;1;1;7;2;34.8177939401247
1;4;8227;1;4;8;1;71.1693927431894
2;9;8425;2;-7;3;1;56.7103574790626
1;11;8234;1;2;8;-7;63.4599362275951
2;11;8563;1;2;7;-7;68.0087227674069
1;3;8230;1;4;7;1;63.079528228738
2;4;8252;1;1;3;2;176.148623127717
2;3;8510;1;3;7;-7;17.0262627671209
2;8;8265;2;-7;8;-7;34.8177939401247
2;1;8510;1;2;8;-7;19.5532706608277
2;3;8230;1;3;8;2;44.9539390118513
1;4;8231;2;-7;4;2;324.133316221888
2;3;8401;1;2;7;-7;31.9602377550574
1;3;8601;1;2;7;1;34.7547083105179
2;7;8230;2;-7;5;-7;44.2047066696615
2;10;-9;2;-7;1;1;122.748367310052
1;4;8423;2;-7;9;1;29.9195901999037
1;7;8236;1;4;8;1;59.3719553578297
1;4;8423;1;2;7;1;25.8194982137825
2;1;8510;2;-7;9;1;16.2007734990058
2;3;8533;1;1;8;4;80.2954390535469
1;6;8423;1;2;9;1;25.8194982137825
1;2;8510;1;3;7;4;17.494372926597
2;3;8525;1;1;7;1;80.2954390535469
1;4;8236;1;4;7;1;59.4354547910541
1;7;8232;2;-7;8;1;26.9008831524086
2;10;8207;1;5;3;-7;274.762858202313
1;3;8409;2;-7;2;1;63.3555516634303
1;7;8215;2;-7;6;1;37.5257612419977
2;2;8228;1;2;7;-7;62.5287377338575
1;4;8218;1;5;5;2;147.557999322535
2;3;8542;1;1;4;1;80.2954390535469
2;1;8415;1;2;5;3;34.8177939401247
2;-9;8537;2;-7;8;2;68.0087227674069
1;9;8227;1;2;8;1;59.6156717098854
1;6;8331;1;1;3;-7;113.217440861469
1;2;8261;1;5;7;1;141.164197916935
2;2;8207;2;-7;8;1;274.762858202313
1;11;8533;1;3;8;1;99.2979491292016
2;1;8507;1;2;7;1;80.2954390535469
2;1;8240;1;3;8;-7;97.1029343447457
1;9;8232;2;-7;6;1;141.164197916935
2;7;8265;2;-7;4;3;37.6647223446157
1;10;8204;1;4;8;1;75.1970405436977
2;2;8427;1;4;8;1;37.9612951612988
2;8;8218;1;2;4;2;140.339978451488
2;2;8212;2;-7;9;3;166.859695700096
2;5;8542;2;-7;2;-7;80.2954390535469
1;11;8264;1;2;8;1;34.4831869703515
2;10;8406;1;3;8;2;43.2166569568887
2;5;8207;1;2;4;1;274.762858202313
1;2;8215;1;5;7;1;50.0929365431336
2;9;8230;1;1;8;2;29.2421688446292
2;8;8264;1;1;8;1;40.9612412333552
2;7;8243;1;5;5;3;97.1029343447457
1;9;8264;2;-7;8;1;31.8767383268424
2;2;8265;1;2;8;-7;34.8177939401247
2;8;8406;2;-7;2;-7;43.2166569568887
1;5;8212;1;1;7;2;165.381712820244
2;9;8230;2;-7;5;2;44.2047066696615
2;2;8432;2;-7;6;4;70.0539705411917
1;1;8439;1;3;8;1;25.7821520854634
1;9;8231;1;4;3;2;340.572614336266
2;2;8357;1;3;9;-7;74.0861310147463
1;2;8231;1;3;7;-7;201.46632185623
2;4;8406;1;1;2;1;31.9602377550574
2;5;8231;1;3;3;-7;247.107798011977
1;8;8212;2;-7;9;1;165.381712820244
2;3;8248;1;1;7;-7;176.148623127717
1;12;8510;2;-7;7;1;16.2285418585574
2;4;8232;1;4;5;1;143.129559638735
1;1;8231;2;-7;5;3;283.74559098134
1;5;8231;1;5;2;1;324.133316221888
2;10;8212;1;2;8;1;139.348473033844
1;11;8510;2;-7;7;1;16.2285418585574
2;6;8218;2;-7;5;-7;137.855003809855
1;2;8227;1;4;9;1;58.1024383756425
2;11;8439;1;2;8;2;25.5655018470119
1;5;8236;1;4;4;-7;66.0076445491317
1;4;8212;1;4;8;1;141.195454433612
2;6;8514;1;1;6;1;80.2954390535469
2;8;8215;1;3;7;-7;48.8708268305858
1;4;8250;2;-7;3;2;148.651645216949
1;1;8331;1;1;8;1;80.1310400400267
1;10;8236;2;-7;8;2;77.2708539003396
1;7;8236;1;4;7;4;59.4354547910541
2;3;8251;1;1;8;1;183.575319080148
1;2;8227;1;1;9;1;71.1693927431894
1;4;8230;1;5;4;1;62.0282027227221
1;7;8218;2;-7;5;1;145.735384696726
1;4;8439;1;2;8;1;58.1024383756425
2;3;8218;1;5;8;1;137.855003809855
2;6;8215;1;3;2;1;37.8252253758228
1;7;8546;1;2;8;1;91.9022196167268
1;5;8409;1;1;5;2;31.8767383268424
2;4;8227;1;2;3;-7;59.01370611404
2;7;8359;1;1;5;-7;104.676566691599
1;7;8998;1;1;7;1;37.9343667824311
2;4;8240;1;2;7;1;183.575319080148
2;10;8207;2;-7;8;1;26.636248784728
2;3;8229;1;5;8;-7;33.6813419667604
2;2;8529;2;-7;3;-7;63.0788998376644
2;8;8534;1;1;7;1;25.5655018470119
2;7;8406;1;3;2;-7;31.9602377550574
1;6;8212;1;4;6;2;141.195454433612
1;4;8218;2;-7;9;1;181.630434135561
1;4;8510;1;2;8;-7;17.7730768620675
1;8;8229;1;4;8;1;31.5965860999322
2;8;8243;2;-7;6;1;122.748367310052
2;7;8218;1;1;8;3;154.083966068582
1;13;8215;1;4;6;1;37.5257612419977
1;1;8510;2;-7;9;1;16.6461881369673
2;3;8406;1;3;3;2;60.4810602683451
1;2;8207;1;5;8;2;447.89991344211
1;5;8218;2;-7;8;-7;150.776546284591
2;8;8230;2;-7;6;1;54.068737654359
1;3;8218;2;-7;8;-7;181.630434135561
2;8;8250;1;1;2;1;97.1029343447457
1;3;8239;1;1;7;4;152.753311976989
1;11;8239;2;-7;2;1;208.353028033726
1;4;8229;2;-7;3;1;34.0942209782288
1;12;8212;1;1;8;2;137.193659106926
2;5;8230;2;-7;5;3;44.9539390118513
1;12;8230;1;4;5;1;41.0327160567181
1;5;8212;2;-7;8;-7;164.279462215597
2;6;8236;2;-7;8;1;82.007624416865
2;10;8317;1;2;9;1;133.27280033577
2;3;8229;2;-7;7;1;35.3225421988
1;3;8256;1;3;2;2;185.427056641267
2;6;8439;2;-7;8;1;28.089135067548
2;5;8214;1;3;2;1;50.7149034294347
1;6;8214;1;2;6;1;64.7872498099862
1;7;8264;2;-7;7;1;34.7547083105179
2;9;8406;1;1;2;-7;43.2166569568887
1;9;8560;1;3;5;-7;40.9677510533507
2;7;8212;2;-7;8;1;166.859695700096
2;2;8264;1;3;5;-7;34.8177939401247
2;12;8515;1;1;6;-7;68.0087227674069
1;2;8230;1;2;8;1;56.9333177129465
1;8;8227;2;-7;5;3;71.6371694553902
2;7;8406;1;1;1;-7;43.2166569568887
1;11;8230;1;2;8;1;62.0282027227221
2;4;8234;2;-7;8;1;62.5287377338575
2;7;8352;2;-7;4;2;118.904447558095
2;3;8313;1;3;8;-7;98.7393671128755
1;11;8207;1;2;6;1;317.659513158926
2;3;8264;1;1;7;-7;37.9612951612988
2;3;8243;1;2;8;1;97.1029343447457
2;12;8410;1;1;4;3;43.2166569568887
2;6;8236;1;2;8;-7;82.007624416865
1;4;8265;1;4;8;2;31.8767383268424
1;5;8227;1;4;8;1;58.1024383756425
2;6;8542;1;1;2;-7;68.0087227674069
2;5;8507;1;1;8;-7;80.2954390535469
1;12;8243;2;-7;5;2;129.134848915855
2;8;8362;1;4;2;3;74.0861310147463
2;7;8211;1;2;7;-7;67.8799486969921
2;10;8212;1;2;8;1;133.27280033577
1;11;8207;2;-7;9;1;447.89991344211
