"W18A1";"W18A6";"W18B1";"W18B9";"W18B10";"W18D1";"W18E38";"weight_2018"
2;10;8215;1;2;7;1;36.6102509834784
1;5;8212;2;-7;7;2;138.575872700505
2;3;8424;1;1;6;-7;31.9602377550574
2;10;8439;1;2;8;1;25.5655018470119
1;4;8212;1;2;9;1;141.195454433612
1;10;8510;2;-7;8;2;16.6461881369673
2;8;8231;2;-7;8;4;264.958256858071
2;8;8212;1;2;3;-7;167.979258657
1;11;8229;1;4;9;1;32.1817080988778
2;4;8212;1;2;8;-7;140.752396181062
2;10;8406;1;2;3;-7;39.016627463231
2;8;8229;1;5;8;1;45.0105208212093
1;3;8510;2;-7;9;1;16.6461881369673
1;8;8207;1;4;8;1;351.543194367243
1;1;8218;1;2;5;-7;145.735384696726
1;12;8313;1;1;7;3;113.217440861469
2;4;8510;1;3;7;-7;17.0262627671209
2;5;8255;1;2;4;2;142.095116353267
2;7;8236;1;3;7;1;63.0115078339826
1;1;8236;1;4;4;1;59.3719553578297
2;10;8406;2;-7;2;1;43.2166569568887
1;3;8510;1;2;7;1;17.7730768620675
1;9;8229;2;-7;8;1;32.1817080988778
2;2;8510;1;1;7;-7;17.2975092107323
2;1;8218;1;3;5;2;174.906123627859
1;5;8218;1;4;8;1;147.557999322535
1;5;8218;1;1;9;1;172.316052767439
2;6;8215;2;-7;7;1;45.6127717411273
2;6;8432;1;2;6;-7;39.016627463231
2;6;8229;2;-7;6;1;33.6813419667604
2;6;8229;1;2;8;-7;36.9317096403403
2;7;8439;2;-7;7;1;29.6252596461835
2;5;8345;2;-7;6;-7;74.0861310147463
2;9;8439;1;1;7;1;25.5655018470119
1;2;8218;1;3;5;-7;191.46228085271
2;4;8510;1;2;8;2;17.0262627671209
2;11;8212;2;-7;7;1;166.859695700096
1;5;8218;1;5;8;1;318.121982724131
1;12;8407;2;-7;8;2;31.0737103712154
2;3;8212;2;-7;8;1;166.859695700096
1;5;8510;1;4;8;1;17.7730768620675
1;1;8218;1;5;2;2;150.776546284591
2;2;8212;2;-7;7;4;397.564562135941
2;3;8439;1;2;9;2;25.5285231069676
1;1;8264;1;3;8;1;29.9195901999037
1;6;8236;1;3;3;-7;59.3719553578297
1;8;8212;1;2;9;1;120.199506604871
1;5;8212;2;-7;8;1;164.279462215597
1;10;8439;1;2;8;-7;25.8194982137825
1;7;8236;1;2;2;1;66.0076445491317
2;8;8432;1;2;8;1;35.0198022634297
2;6;8215;1;3;8;-7;48.8708268305858
1;4;8207;1;1;8;2;447.89991344211
2;8;8439;1;2;8;1;25.5285231069676
2;6;8236;1;4;7;1;70.0539705411917
1;10;8510;1;4;8;1;17.494372926597
2;6;8406;2;-7;8;-7;60.4810602683451
1;4;8510;1;4;7;1;20.0908569046506
2;6;8236;1;2;8;-7;70.0539705411917
2;5;8439;2;-7;8;1;29.6252596461835
1;7;8218;1;2;8;1;147.557999322535
1;10;8207;2;-7;7;1;373.860811324546
1;9;8207;2;-7;8;1;408.914432160406
2;12;8423;1;2;7;1;25.5655018470119
1;12;8406;2;-7;8;1;145.735384696726
2;9;8439;2;-7;7;1;29.6252596461835
2;10;8215;1;3;8;3;36.6102509834784
2;4;8212;2;-7;8;1;179.918280309355
2;9;8423;1;2;8;1;133.27280033577
1;12;8212;1;2;9;1;120.199506604871
2;4;8510;1;3;8;-7;17.0262627671209
2;10;8423;1;2;8;1;25.5655018470119
1;13;8212;1;4;8;1;120.199506604871
1;7;8215;1;5;7;1;35.8805219879624
2;7;8423;1;3;7;-7;25.5285231069676
2;10;8215;1;2;7;1;33.787238326761
1;10;8207;2;-7;7;1;351.543194367243
2;8;8423;2;-7;7;1;29.6252596461835
2;8;8218;1;3;2;1;178.562187813972
2;6;8439;1;2;7;-7;25.5285231069676
1;5;8212;2;-7;6;-7;164.279462215597
1;11;8207;1;2;9;1;352.07262738276
2;9;8236;1;2;8;2;82.007624416865
1;6;8510;1;5;7;1;50.0929365431336
2;9;8236;1;2;8;1;63.0115078339826
1;10;8236;2;-7;8;3;53.434760225776
1;4;8212;2;-7;6;1;163.429155491523
1;6;8207;1;2;3;1;191.46228085271
2;8;8215;2;-7;7;-7;45.6127717411273
1;11;8231;1;4;2;1;340.572614336266
1;11;8510;1;1;7;1;16.2285418585574
2;4;8406;1;2;5;2;31.9602377550574
1;12;8218;1;2;9;1;145.735384696726
1;9;8439;1;2;8;-7;25.8194982137825
2;7;8212;1;2;8;4;143.413122025624
2;8;8432;2;-7;7;4;60.4810602683451
1;12;8336;1;1;5;-7;128.606217084254
2;4;8215;1;3;6;-7;48.8708268305858
1;11;8218;2;-7;7;1;160.0077634212
1;9;8345;1;3;8;4;80.1310400400267
1;8;8231;1;4;7;1;265.577226720543
1;4;8231;1;5;3;3;283.74559098134
2;8;8423;1;2;7;1;25.5655018470119
1;10;8432;1;4;9;2;31.0737103712154
1;5;8510;1;2;7;1;17.494372926597
1;7;8218;1;4;5;1;141.195454433612
2;4;8439;1;3;7;-7;44.6625054770934
2;12;8313;2;-7;4;1;118.904447558095
2;6;8231;1;3;5;-7;274.762858202313
2;7;8533;1;2;7;1;25.5285231069676
2;9;8218;1;4;3;1;140.339978451488
1;6;8406;1;2;5;1;66.0076445491317
1;4;8218;1;5;8;1;143.154874571557
1;6;8439;1;2;9;1;29.9195901999037
2;6;8215;2;-7;2;1;45.6127717411273
1;8;8236;2;-7;9;1;59.3719553578297
1;11;8218;1;4;9;1;145.735384696726
1;8;8218;2;-7;7;1;150.776546284591
2;13;8215;1;2;7;2;33.787238326761
1;8;8510;1;2;9;1;16.2285418585574
1;6;8218;2;-7;9;3;150.776546284591
1;10;8207;1;3;8;1;317.659513158926
1;10;8439;1;2;7;2;317.659513158926
2;11;8207;1;3;8;2;265.357290749673
2;6;8218;2;-7;5;4;137.855003809855
2;12;8207;2;-7;8;1;329.554741980749
2;7;8337;1;3;5;1;74.0861310147463
2;6;8345;-9;-7;6;4;74.0861310147463
2;11;8229;1;5;8;1;33.341126728719
2;10;8424;2;-7;7;1;60.4810602683451
1;12;8424;1;2;4;4;42.0178939775888
2;5;8410;1;3;3;3;63.0115078339826
2;8;8431;2;-7;8;2;31.9602377550574
1;6;8218;2;-7;5;3;181.630434135561
1;11;8229;1;5;5;1;32.1817080988778
2;7;8218;1;4;9;2;137.855003809855
2;6;8438;1;3;5;-7;70.0539705411917
2;5;8212;2;-7;6;1;166.859695700096
1;10;8207;2;-7;6;1;352.07262738276
2;12;8215;1;2;8;2;34.5659288173129
2;12;8207;1;1;5;3;265.357290749673
2;5;8432;1;1;2;1;39.016627463231
1;12;8218;2;-7;9;2;145.735384696726
2;12;8226;1;3;6;1;122.087404139836
1;12;8207;2;-7;9;1;437.248976833521
1;10;8212;1;4;8;1;120.199506604871
1;6;8409;1;4;8;2;59.3719553578297
2;6;8510;1;2;7;-7;17.0262627671209
2;5;8207;1;2;8;1;274.762858202313
1;7;8229;1;2;6;3;38.6180492681095
2;8;8229;1;3;8;1;32.7349243898416
1;5;8212;2;-7;8;1;164.279462215597
1;11;8207;1;2;7;1;352.07262738276
1;6;8207;1;4;9;1;351.543194367243
1;4;8218;2;-7;5;2;150.776546284591
2;6;8229;1;4;7;2;35.3225421988
2;7;8215;1;2;9;1;35.0051503799311
2;4;8510;1;1;3;-7;15.7943024977442
1;5;8510;1;4;7;1;20.0908569046506
2;4;8406;2;-7;3;-7;31.9602377550574
2;4;8215;1;2;7;4;45.6127717411273
2;10;8207;1;3;7;1;281.779054361708
2;8;8207;2;-7;5;1;337.582357485572
2;3;8424;1;1;2;2;72.6049553484002
2;10;8439;2;-7;8;-7;25.5655018470119
2;13;8229;1;1;5;-7;32.7349243898416
1;13;8510;2;-7;8;2;17.494372926597
1;11;8207;1;4;8;1;352.07262738276
1;4;8439;1;2;7;1;35.8805219879624
1;9;8207;1;4;8;1;317.659513158926
2;7;8207;2;-7;4;2;337.582357485572
2;8;8215;2;-7;9;2;45.6127717411273
2;13;8229;1;2;9;2;33.341126728719
2;8;8236;2;-7;8;1;82.007624416865
2;5;8215;2;-7;7;-7;45.6127717411273
2;8;8310;1;3;8;-7;74.0861310147463
1;3;8439;1;3;8;1;25.5285231069676
2;10;8439;1;4;7;1;25.5285231069676
1;8;8510;1;4;6;1;17.494372926597
1;6;8212;1;1;6;2;164.279462215597
1;9;8218;1;5;9;1;160.0077634212
2;9;8265;1;4;8;1;25.5655018470119
2;5;8212;2;-7;8;1;140.752396181062
2;5;8215;1;3;7;-7;48.8708268305858
1;12;8229;2;-7;9;2;32.1817080988778
2;10;8218;1;4;9;1;140.339978451488
1;7;8218;1;1;9;1;147.557999322535
1;9;8439;1;3;7;-7;25.8194982137825
1;7;8215;1;2;8;1;45.7793779605382
1;7;8212;1;2;8;2;141.195454433612
2;7;8236;1;3;2;2;70.0539705411917
1;8;8236;1;4;7;1;77.2708539003396
1;4;8439;1;2;8;-7;29.9195901999037
1;6;8212;1;5;9;1;165.381712820244
2;4;8212;1;2;8;4;143.413122025624
2;9;8510;1;2;8;1;16.2007734990058
2;5;8510;1;1;8;-7;17.0262627671209
2;6;8236;2;-7;8;1;67.2393020561023
1;9;8207;1;1;9;1;352.07262738276
1;7;8423;1;1;8;3;185.427056641267
2;5;8439;1;2;7;-7;25.5285231069676
1;12;8510;2;-7;7;1;16.6461881369673
1;12;8424;1;2;1;3;42.0178939775888
2;8;8406;1;1;8;1;39.016627463231
1;6;8229;1;4;9;1;32.0334029629626
1;11;8207;2;-7;9;1;408.914432160406
2;12;8212;2;-7;7;1;139.348473033844
2;6;8410;2;-7;7;-7;39.016627463231
1;13;8215;1;1;4;1;34.6321536841877
1;8;8347;1;1;3;1;80.1310400400267
1;4;8207;1;2;8;1;554.460241150125
1;5;8229;1;3;7;1;34.0942209782288
1;10;8212;1;4;8;1;131.211937521916
2;9;8601;1;2;7;-7;37.8252253758228
1;8;8207;1;2;4;-7;364.551812845204
1;4;8510;1;2;7;1;17.494372926597
1;6;8229;1;5;4;1;40.8896998424114
2;7;8215;1;2;8;-7;48.8708268305858
1;5;8215;1;2;7;1;46.7534074736533
1;8;8432;2;-7;5;1;37.9343667824311
2;13;8207;2;-7;8;1;329.554741980749
1;3;8215;1;1;4;3;46.7534074736533
1;6;8236;2;-7;8;2;59.4354547910541
1;5;8315;2;-7;2;-7;80.1310400400267
1;6;8218;2;-7;4;1;181.630434135561
1;13;8510;1;4;7;2;17.494372926597
1;4;8218;1;5;4;2;150.776546284591
2;10;8218;1;2;7;1;140.339978451488
1;12;8212;2;-7;9;3;137.193659106926
2;9;8236;2;-7;8;1;82.007624416865
2;10;8218;1;3;8;1;140.339978451488
1;8;8207;1;2;8;1;364.551812845204
2;3;8406;1;1;8;1;35.0198022634297
1;6;8423;1;2;8;1;38.7711184230461
1;5;8218;2;-7;9;1;143.154874571557
1;8;8510;1;3;8;-7;17.494372926597
1;8;8231;1;4;2;-7;340.572614336266
1;7;8423;1;3;9;-7;28.3682040369577
2;7;8236;1;4;9;2;63.0115078339826
1;7;8231;1;4;3;3;201.46632185623
2;5;8231;1;3;3;1;274.762858202313
2;4;8264;1;3;8;1;45.6127717411273
1;10;8215;1;2;7;1;35.4303168391754
1;6;8423;1;2;9;1;25.8194982137825
2;10;8231;1;3;3;1;239.42011175175
1;8;8439;1;1;6;4;28.3682040369577
1;5;8229;2;-7;4;-7;48.1471784687829
1;11;8510;1;4;8;1;17.7730768620675
2;4;8229;1;2;8;2;36.9317096403403
1;9;8607;1;2;7;1;34.6321536841877
1;8;8215;1;2;7;1;38.7711184230461
1;12;8510;2;-7;8;1;17.7730768620675
2;10;8345;1;1;6;3;104.676566691599
2;7;8229;1;1;6;1;42.3628435183233
1;7;8439;1;3;8;-7;28.3682040369577
1;4;8212;1;4;9;1;137.193659106926
2;9;8423;2;-7;7;1;25.5285231069676
1;4;8215;2;-7;7;1;46.7534074736533
2;5;8439;1;2;7;2;25.5285231069676
1;6;8231;1;4;5;1;265.577226720543
1;10;8423;2;-7;9;1;29.9195901999037
1;6;8207;1;5;5;1;364.551812845204
2;5;8218;1;2;5;-7;142.095116353267
2;8;8432;1;1;5;1;43.2166569568887
2;4;8510;1;3;8;-7;19.5532706608277
1;4;8510;1;2;7;1;17.494372926597
1;8;8236;1;1;8;3;63.3555516634303
2;7;8236;1;1;8;1;63.0115078339826
2;9;8424;1;1;6;2;43.2166569568887
1;5;8510;1;4;7;1;50.0929365431336
1;5;8215;1;2;8;1;45.7793779605382
1;3;8215;1;2;7;1;50.0929365431336
1;10;8215;1;2;8;1;34.6321536841877
2;4;8212;2;-7;8;2;166.859695700096
1;5;8406;2;-7;3;2;34.0484073094498
1;9;8349;1;2;8;1;34.6321536841877
2;4;8510;1;3;7;3;17.0262627671209
1;12;8207;2;-7;8;1;408.914432160406
1;11;8212;2;-7;8;1;137.193659106926
1;11;8207;1;4;6;3;364.551812845204
1;8;8215;1;5;5;1;35.4303168391754
1;6;8215;1;1;7;2;46.7534074736533
1;11;8218;1;1;3;4;143.154874571557
1;11;8215;2;-7;7;2;35.4303168391754
1;8;8354;2;-7;8;-7;128.606217084254
2;5;8207;1;2;9;1;337.582357485572
2;5;8406;1;2;3;2;31.9602377550574
2;8;8229;1;3;8;1;36.9317096403403
2;6;8607;1;2;8;-7;35.0051503799311
2;6;8231;1;3;7;1;274.762858202313
1;10;8207;2;-7;8;1;437.248976833521
2;5;8215;1;3;7;1;48.8708268305858
1;6;8439;1;2;8;1;25.7821520854634
2;5;8424;1;1;4;-7;39.016627463231
2;6;8216;2;-7;8;-7;45.6127717411273
2;9;8336;1;1;7;-7;74.0861310147463
1;9;8336;1;1;5;2;80.1310400400267
1;7;8212;1;1;6;2;164.279462215597
1;9;8207;1;3;9;1;317.659513158926
2;11;8510;1;3;7;-7;15.7943024977442
2;8;8212;1;3;7;1;139.348473033844
1;5;8236;2;-7;2;1;68.4112841587587
2;6;8236;2;-7;8;4;67.2393020561023
2;7;8212;1;2;8;1;167.979258657
1;11;8439;2;-7;7;1;25.8194982137825
2;3;8218;2;-7;8;1;137.855003809855
1;10;8229;1;3;6;2;32.1817080988778
1;8;8349;1;2;8;1;34.6321536841877
2;7;8439;1;2;7;-7;28.089135067548
2;6;8231;1;3;2;1;274.762858202313
1;7;8218;2;-7;8;1;318.121982724131
2;9;8439;1;2;7;-7;25.5655018470119
1;7;8215;1;2;8;1;50.0929365431336
2;6;8231;1;3;8;1;264.958256858071
2;8;8601;1;3;7;-7;25.5285231069676
1;13;8218;1;4;8;1;145.735384696726
2;4;8312;2;-7;3;-7;74.0861310147463
1;5;8207;2;-7;4;3;364.551812845204
2;6;8510;1;3;8;-7;17.0262627671209
2;8;8410;1;1;3;3;31.9602377550574
1;7;8215;1;4;6;1;35.8805219879624
1;3;8212;1;2;6;1;141.195454433612
1;4;8229;2;-7;6;1;32.0334029629626
2;12;8310;2;-7;4;2;104.676566691599
2;3;8406;1;1;8;1;31.9602377550574
2;9;8207;1;3;8;1;265.357290749673
2;6;8439;1;4;9;2;28.089135067548
1;10;8424;1;2;8;1;37.9343667824311
2;11;8510;1;2;8;2;17.0262627671209
1;7;8432;2;-7;8;1;31.0737103712154
1;9;8207;2;-7;8;1;437.248976833521
2;7;8236;1;3;7;3;70.0539705411917
1;1;8218;2;-7;7;1;143.154874571557
1;13;8510;1;4;8;1;17.494372926597
1;8;8231;1;4;2;2;201.46632185623
2;8;8310;1;1;6;1;118.904447558095
1;4;8438;1;5;8;2;150.776546284591
2;5;8336;1;1;7;-7;74.0861310147463
2;9;8439;2;-7;8;1;26.636248784728
1;5;8236;1;1;8;1;59.3719553578297
1;7;8218;1;4;8;2;147.557999322535
2;12;8229;1;2;9;3;32.7349243898416
1;5;8218;2;-7;7;1;181.630434135561
2;8;8218;1;2;5;1;140.339978451488
1;12;8510;1;4;8;1;17.494372926597
2;10;8407;1;3;9;1;60.4810602683451
1;5;8207;1;5;9;1;364.551812845204
2;4;8510;1;1;7;-7;17.0262627671209
1;8;8215;2;-7;3;1;46.7534074736533
1;11;8313;1;1;4;4;80.1310400400267
2;6;8354;1;1;5;1;74.0861310147463
1;5;8218;1;5;8;2;147.557999322535
1;6;8229;2;-7;4;2;34.0942209782288
2;4;8215;1;3;6;-7;44.6625054770934
2;7;8310;2;-7;8;-7;118.904447558095
2;6;8218;1;3;5;1;174.906123627859
1;4;8510;1;2;6;1;17.7730768620675
1;4;8229;2;-7;8;-7;34.0942209782288
2;8;8406;1;1;7;2;39.016627463231
2;9;8215;1;1;8;2;45.6127717411273
1;7;8231;2;-7;7;1;201.46632185623
2;12;8212;2;-7;8;-7;139.348473033844
2;4;8215;2;-7;9;1;45.6127717411273
2;4;8207;1;2;9;1;264.958256858071
2;7;8424;2;-7;2;-7;39.016627463231
1;4;8215;1;2;7;1;46.7534074736533
1;10;8229;2;-7;8;1;32.1817080988778
1;4;8207;1;1;4;1;364.551812845204
1;7;8218;1;2;5;2;191.46228085271
2;13;8207;2;-7;8;1;329.554741980749
2;11;8231;2;-7;8;2;417.896922330327
2;4;8212;1;2;6;1;143.413122025624
1;11;8439;1;3;7;1;26.9008831524086
2;7;8207;1;1;9;1;274.762858202313
2;7;8439;2;-7;8;-7;29.6252596461835
2;12;8510;1;3;8;-7;17.0262627671209
1;4;8510;1;4;8;1;17.494372926597
2;5;8231;1;3;8;3;417.896922330327
1;7;8207;1;4;7;1;364.551812845204
1;7;8236;1;2;8;1;59.3719553578297
2;11;8406;1;4;8;1;43.2166569568887
1;7;8212;2;-7;8;2;164.279462215597
1;7;8236;1;2;8;1;59.4354547910541
1;4;8439;2;-7;7;1;29.9195901999037
1;3;8439;1;1;7;-7;25.7821520854634
2;4;8212;1;3;8;1;166.859695700096
2;5;8215;1;3;6;-7;44.6625054770934
1;12;8212;1;4;8;1;137.193659106926
1;7;8236;1;2;6;1;66.0076445491317
1;10;8424;2;-7;4;1;42.0178939775888
1;3;8510;1;4;8;1;20.0908569046506
2;5;8229;1;2;4;1;42.3628435183233
1;11;8218;2;-7;8;1;160.0077634212
2;4;8229;1;1;7;1;35.3225421988
1;7;8229;1;1;5;-7;32.0334029629626
1;5;8236;2;-7;8;1;59.4354547910541
1;5;8510;1;1;6;-7;17.494372926597
1;9;8229;2;-7;8;1;32.0334029629626
1;6;8218;1;4;8;1;185.427056641267
1;11;8510;1;2;8;4;16.2285418585574
1;4;8236;1;2;8;2;63.3555516634303
2;8;8218;1;3;8;2;140.339978451488
2;13;8331;1;3;3;2;142.095116353267
2;5;8212;1;2;8;1;167.979258657
1;12;8510;2;-7;7;1;16.2285418585574
1;7;8236;1;2;8;-7;59.3719553578297
1;12;8229;1;1;6;1;32.1817080988778
1;11;8218;2;-7;8;1;160.0077634212
1;9;8229;1;3;8;1;31.5965860999322
2;4;8406;1;1;7;3;31.9602377550574
1;5;8212;1;2;9;1;165.381712820244
1;13;8215;1;1;7;1;37.5257612419977
1;12;8229;1;4;8;1;31.5965860999322
2;9;8229;1;2;7;1;35.3225421988
2;9;8229;1;1;6;1;35.3225421988
2;8;8406;2;-7;6;-7;39.016627463231
2;10;8212;2;-7;8;2;139.348473033844
2;7;8439;1;1;8;1;25.5285231069676
2;6;8231;1;3;9;1;274.762858202313
2;6;8229;1;2;9;-7;40.009351607687
2;6;8424;2;-7;5;-7;31.9602377550574
2;4;8231;2;-7;7;3;264.958256858071
